import time: self [us] | cumulative | imported package
import time:       414 |        414 | winreg
import time:       804 |        804 |   _io
import time:       118 |        118 |   marshal
import time:       552 |        552 |   nt
import time:       887 |       2360 | _frozen_importlib_external
import time:      1972 |       1972 |   time
import time:       357 |       2329 | zipimport
import time:       155 |        155 |     _codecs
import time:      2765 |       2919 |   codecs
import time:      2145 |       2145 |   encodings.aliases
import time:      4218 |       9281 | encodings
import time:       814 |        814 | encodings.utf_8
import time:       125 |        125 |   _codecs_cn
import time:       136 |        136 |   _multibytecodec
import time:      1269 |       1529 | encodings.gbk
import time:       207 |        207 | _signal
import time:        74 |         74 |     _abc
import time:       321 |        394 |   abc
import time:       341 |        735 | io
import time:       112 |        112 |       _stat
import time:       139 |        251 |     stat
import time:      1718 |       1718 |     _collections_abc
import time:        77 |         77 |       genericpath
import time:       260 |        260 |       _winapi
import time:       191 |        528 |     ntpath
import time:       627 |       3122 |   os
import time:       150 |        150 |   _sitebuiltins
import time:       914 |        914 |   encodings.utf_8_sig
import time:      1424 |       1424 |     __future__
import time:      1754 |       1754 |         warnings
import time:      1588 |       3341 |       importlib
import time:       195 |       3536 |     importlib.machinery
import time:      1305 |       1305 |       importlib._abc
import time:      1575 |       1575 |       types
import time:       405 |       3284 |     importlib.util
import time:       740 |        740 |     itertools
import time:      1083 |       1083 |           posix
import time:       292 |       1374 |         posixpath
import time:       203 |        203 |               _operator
import time:      1644 |       1846 |             operator
import time:       836 |        836 |                 keyword
import time:      1141 |       1141 |                 reprlib
import time:       324 |        324 |                 _collections
import time:      2636 |       4937 |               collections
import time:       147 |        147 |               _functools
import time:      2202 |       7284 |             functools
import time:      6129 |      15258 |           enum
import time:       429 |        429 |             _sre
import time:      1492 |       1492 |               re._constants
import time:      2004 |       3495 |             re._parser
import time:      1230 |       1230 |             re._casefix
import time:      1933 |       7087 |           re._compiler
import time:      1264 |       1264 |           copyreg
import time:      2888 |      26495 |         re
import time:      1898 |      29767 |       fnmatch
import time:       232 |        232 |       errno
import time:      1126 |       1126 |         urllib
import time:       568 |        568 |         math
import time:      4277 |       4277 |         ipaddress
import time:      5744 |      11714 |       urllib.parse
import time:      2794 |      44506 |     pathlib
import time:      7025 |      60512 |   __editable___controlled_agent_platform_3_11_0_finder
import time:      1899 |       1899 |     pywin32_system32
import time:      2658 |       4556 |   pywin32_bootstrap
import time:      1040 |       1040 |   sitecustomize
import time:      9888 |      80179 | site
import time:      2751 |       2751 |     apps
import time:      1696 |       4446 |   apps.api_server
import time:      1962 |       1962 |       collections.abc
import time:      1490 |       1490 |           token
import time:       153 |        153 |           _tokenize
import time:      4231 |       5873 |         tokenize
import time:      1723 |       7596 |       linecache
import time:      4484 |       4484 |       textwrap
import time:      2769 |       2769 |       contextlib
import time:      3682 |      20490 |     traceback
import time:      1400 |       1400 |       _weakrefset
import time:      2011 |       3410 |     weakref
import time:       113 |        113 |       _string
import time:      2125 |       2238 |     string
import time:      2204 |       2204 |     threading
import time:       132 |        132 |     atexit
import time:      5887 |      34359 |   logging
import time:      5544 |       5544 |     _uuid
import time:      1671 |       7215 |   uuid
import time:      1748 |       1748 |     yaml.error
import time:      2247 |       2247 |     yaml.tokens
import time:      2364 |       2364 |     yaml.events
import time:      1890 |       1890 |     yaml.nodes
import time:     12498 |      12498 |       yaml.reader
import time:      4521 |       4521 |       yaml.scanner
import time:      2454 |       2454 |       yaml.parser
import time:      1879 |       1879 |       yaml.composer
import time:       355 |        355 |           _datetime
import time:       801 |       1156 |         datetime
import time:       177 |        177 |             _struct
import time:       868 |       1045 |           struct
import time:       138 |        138 |           binascii
import time:      1203 |       2386 |         base64
import time:      3327 |       6867 |       yaml.constructor
import time:      8304 |       8304 |       yaml.resolver
import time:      4788 |      41309 |     yaml.loader
import time:      3491 |       3491 |       yaml.emitter
import time:      1826 |       1826 |       yaml.serializer
import time:      1972 |       1972 |       yaml.representer
import time:      2349 |       9636 |     yaml.dumper
import time:      8274 |       8274 |       yaml._yaml
import time:      4189 |      12463 |     yaml.cyaml
import time:      3488 |      75141 |   yaml
import time:      2381 |       2381 |     starlette
import time:      2218 |       2218 |         http
import time:      1391 |       3608 |       starlette.exceptions
import time:      3137 |       6744 |     starlette.status
import time:       152 |        152 |         _typing
import time:      9989 |      10140 |       typing
import time:      2272 |       2272 |         annotated_doc.main
import time:      2373 |       4644 |       annotated_doc
